"Name","_name_or_path","dataset_name","eval/f1-macro"
"test-vinai/bertweet-base-coaid","vinai/bertweet-base","coaid","0.9636518397097796"
"test-roberta-base-coaid","roberta-base","coaid","0.9493437672130524"
"test-microsoft/deberta-base-coaid","microsoft/deberta-base","coaid","0.9487779301443898"
"test-deepset/covid_bert_base-coaid","deepset/covid_bert_base","coaid","0.9437857662271966"
"test-allenai/scibert_scivocab_uncased-coaid","allenai/scibert_scivocab_uncased","coaid","0.9328563194403038"
"test-facebook/bart-base-coaid","facebook/bart-base","coaid","0.9320623428858724"
"test-bert-base-uncased-coaid","bert-base-uncased","coaid","0.9249110105580692"
"test-manueltonneau/clinicalcovid-bert-base-cased-coaid","manueltonneau/clinicalcovid-bert-base-cased","coaid","0.918927209418007"
"test-deepset/covid_bert_base-rec","deepset/covid_bert_base","rec","0.9019353350062012"
"test-emilyalsentzer/Bio_ClinicalBERT-coaid","emilyalsentzer/Bio_ClinicalBERT","coaid","0.9017662858697132"
"test-manueltonneau/biocovid-bert-large-cased-coaid","manueltonneau/biocovid-bert-large-cased","coaid","0.8933609493954322"
"test-facebook/bart-base-rec","facebook/bart-base","rec","0.8925825418362732"
"test-vinai/bertweet-base-rec","vinai/bertweet-base","rec","0.881917478484002"
"test-roberta-base-rec","roberta-base","rec","0.8279870844539683"
"test-roberta-base-fn19","roberta-base","fn19","0.8129400882651093"
"test-bert-base-uncased-rec","bert-base-uncased","rec","0.8121265111170524"
"test-emilyalsentzer/Bio_ClinicalBERT-rec","emilyalsentzer/Bio_ClinicalBERT","rec","0.8077496274217586"
"test-microsoft/deberta-base-rec","microsoft/deberta-base","rec","0.8077496274217586"
"test-manueltonneau/biocovid-bert-large-cased-rec","manueltonneau/biocovid-bert-large-cased","rec","0.8077496274217586"
"test-digitalepidemiologylab/covid-twitter-bert-v2-rec","digitalepidemiologylab/covid-twitter-bert-v2","rec","0.8077496274217586"
"test-manueltonneau/clinicalcovid-bert-base-cased-rec","manueltonneau/clinicalcovid-bert-base-cased","rec","0.7755844155844156"
"test-microsoft/deberta-base-fn19","microsoft/deberta-base","fn19","0.7694331869863784"
"test-vinai/bertweet-base-par","vinai/bertweet-base","par","0.7678577706915198"
"test-emilyalsentzer/Bio_ClinicalBERT-fn19","emilyalsentzer/Bio_ClinicalBERT","fn19","0.767750299512699"
"test-manueltonneau/clinicalcovid-bert-base-cased-par","manueltonneau/clinicalcovid-bert-base-cased","par","0.7589338991113389"
"test-deepset/covid_bert_base-par","deepset/covid_bert_base","par","0.7565680395111661"
"test-bert-base-uncased-par","bert-base-uncased","par","0.747852073488855"
"test-allenai/scibert_scivocab_uncased-fn19","allenai/scibert_scivocab_uncased","fn19","0.7444704407622262"
"test-emilyalsentzer/Bio_ClinicalBERT-par","emilyalsentzer/Bio_ClinicalBERT","par","0.7383063503439488"
"test-digitalepidemiologylab/covid-twitter-bert-v2-fn19","digitalepidemiologylab/covid-twitter-bert-v2","fn19","0.7217194570135747"
"test-facebook/bart-base-fn19","facebook/bart-base","fn19","0.7111620705772377"
"test-deepset/covid_bert_base-fn19","deepset/covid_bert_base","fn19","0.7104407087687414"
"test-manueltonneau/clinicalcovid-bert-base-cased-fn19","manueltonneau/clinicalcovid-bert-base-cased","fn19","0.7086446572967753"
"test-bert-base-uncased-fn19","bert-base-uncased","fn19","0.6572544941428254"
"test-manueltonneau/biocovid-bert-large-cased-par","manueltonneau/biocovid-bert-large-cased","par","0.6425531914893617"
"test-digitalepidemiologylab/covid-twitter-bert-v2-par","digitalepidemiologylab/covid-twitter-bert-v2","par","0.6425531914893617"
"test-microsoft/deberta-base-par","microsoft/deberta-base","par","0.6425531914893617"
"test-vinai/bertweet-base-fn19","vinai/bertweet-base","fn19","0.6365223784578623"
"test-digitalepidemiologylab/covid-twitter-bert-v2-coaid","digitalepidemiologylab/covid-twitter-bert-v2","coaid","0.6129022366411746"
"test-manueltonneau/biocovid-bert-large-cased-fn19","manueltonneau/biocovid-bert-large-cased","fn19","0.6104586619924044"
"test-roberta-base-par","roberta-base","par","0.6055266777134407"
"test-allenai/scibert_scivocab_uncased-par","allenai/scibert_scivocab_uncased","par","0.6017768760053804"
"test-roberta-base-cmu","roberta-base","cmu","0.5807835316748174"
"test-microsoft/deberta-base-cmu","microsoft/deberta-base","cmu","0.5425528694285958"
"test-facebook/bart-base-par","facebook/bart-base","par","0.5217139690456398"
"test-bert-base-uncased-cmu","bert-base-uncased","cmu","0.5098168430316756"
"test-vinai/bertweet-base-cmu","vinai/bertweet-base","cmu","0.4985895607546271"
"test-emilyalsentzer/Bio_ClinicalBERT-cmu","emilyalsentzer/Bio_ClinicalBERT","cmu","0.4856794352346517"
"test-facebook/bart-base-cmu","facebook/bart-base","cmu","0.4796475312470593"
"test-manueltonneau/clinicalcovid-bert-base-cased-cmu","manueltonneau/clinicalcovid-bert-base-cased","cmu","0.47764487516787096"
"test-allenai/scibert_scivocab_uncased-cmu","allenai/scibert_scivocab_uncased","cmu","0.4683518474252878"
"test-deepset/covid_bert_base-cmu","deepset/covid_bert_base","cmu","0.4494798578245689"
"test-digitalepidemiologylab/covid-twitter-bert-v2-cmu","digitalepidemiologylab/covid-twitter-bert-v2","cmu","0.4491169049621531"
"test-manueltonneau/biocovid-bert-large-cased-cmu","manueltonneau/biocovid-bert-large-cased","cmu","0.4491169049621531"
"test-allenai/scibert_scivocab_uncased-rec","","rec",""